Это событие в зарубежной публицистике также иногда называется " третьей пражской дефенестрацией " .	третьей
Однако сбивающие с толку детали иллюстраций питают множество теорий о происхождении книги , содержании её текста и цели , для которой она была написана .	цели
Ещё выше находится уровень президиума , над ним находится фракционный уровень и , наконец , крыша-терраса и впечатляющий купол здания .	наконец
Длина тела от 18-22 см до 160 см. Насчитывают 14 родов и около 35 видов .	родов
Иногда она подстилается кортексом , который , помимо клеток и спикул , может иногда содержать даже инородные включения .	помимо
Иногда температура падает до − 20 ºС .	температура
В водных растворах одноатомные фенолы взаимодействуют с хлоридом железа ( III ) с образованием комплексных фенолятов , которые имеют фиолетовую окраску ; окраска исчезает после прибавления синильной кислоты	водных
На территории Латвии были созданы 48 тюрем , 23 концентрационных лагеря ( Саласпилс , Кайзервальд , Милгравич и др. ) и 18 еврейских гетто .	созданы
Стоимость поездки в любой пункт центра Парижа — 10,3 евро .	евро
Он в своих комедиях вёл ожесточённую борьбу с демократией , стоявшей у власти в период Пелопоннесской войны .	борьбу
552 — Разгром остготов при Тагине и конец остготского королевства	конец
Часть экспонатов хранится в музеях и частных коллекциях Новой Зеландии , США , Австралии и Германии .	частных
В 1952 году Фернандель получил розетку Почётного легиона и медаль « За гражданские заслуги » .	заслуги
В 1993 году руководителем театра стал режиссёр и художник Резо Габриадзе , он возглавлял ГАЦТК всего два года .	руководителем
15 июля 1746 года Гейнсборо обвенчался с Маргарэт Барр , побочной дочерью герцога Бофора .	герцога
Депутат Верховного Совета СССР 1-го созыва ( 1937 ) .	созыва
Иногда в трансформаторах предусмотрено наличие третичной Δ-соединённой обмотки , предусмотренной не для зарядки , а для предотвращения искажения напряжения и понижения полного сопротивления нулевой последовательности .	наличие
31 января 1918 года красноармейские части Блюхера выбивают из города казачьи формирования Дутова .	формирования
Повесть « Завтрашние заботы » , впервые опубликованная в журнале « Знамя » , сразу снискала ему читательскую любовь .	любовь
Именно с этого фильма началось многолетнее сотрудничество режиссёра и актёра , таким образом Мифунэ снялся во многих фильмах Акиры Куросавы .	фильмах
К тому же Персия открыто выступила против Филиппа II , когда тот осаждал Перинф , и готова была поддержать врагов Филиппа в Греции .	открыто
Например , в древности в Японии , Корее и Вьетнаме не говорили по-китайски , только использовали китайскую письменность .	использовали
Мать меня спасла очень странным образом — она устроила меня в геологическую партию .	партию
Воспользовавшись нестабильностью центральной власти , ряд областей Орды на какое-то время вслед за Улусом Шибана обрёл собственных ханов .	областей
Барсучьи норы часто используют лисы , енотовидные собаки и другие виды животных как убежище от неблагоприятных природных условий , так и для размножения .	условий
В городе имеются все значимые банки , лизинговые товарищества и учреждения , обеспечивающие ему экономическое развитие — Слупская промышленно-торговая палата и Слупское сообщество хозяйственных инноваций и предпринимательства .	учреждения
Как символ стража сокровищ , крылатый лев присутствует в качестве декоративного мотива элементом архитектурного оформления казнохранилищ банков и т. п .	символ
В финале россиянка сыграла со второй ракеткой турнира — американкой Винус Уильямс , уступив ей 2-6 , 4-6 .	сыграла
За одну из сатир на шефа полка великого князя Константина Павловича несколько месяцев провёл под арестом в Кронштадтской крепости .	великого
Давай лучше завтра “ .	лучше
Работает частное радио First FM ,	радио
В церемонии освящения верхнего храма собора принимал участие архиепископ Астанинский и Алматинский Алексий .	церемонии
К концу Второй мировой войны японской морской авиацией было подготовлено 2525 лётчиков-камикадзе , ещё 1387 предоставила армия .	морской
А на 200-метровой дистанции спортсмену удалось сделать золотой дубль , обойдя на финише трёх американцев .	дистанции
Фильм получил в основном положительные отзывы критиков и неоднократно был отмечен как один из лучших фильмов 1981 года .	критиков
Новым символом партии станет сердце , лежащее на руке одного человека и прикрытое сверху рукой другого .	другого
Нет и другого способа определять вознаграждение , заставляющее человека выбирать ту деятельность , занимаясь которой он будет в наибольшей мере способствовать увеличению потока производимых товаров и услуг .	другого
При подготовке к старту и при старте атмосфера в кабине состоит из 60 % кислорода и 40	подготовке
Родной дядя Лобановского по матери — украинский писатель Александр Бойченко .	украинский
Его бессменным заместителем был оберфюрер СС и полковник полиции ( впоследствии бригадефюрер СС и генерал-майор полиции ) ( более известный как « Вилли К. » ) .	полковник
В наиболее прогреваемых местах нагретый воздух имеет меньшую плотность и поднимается вверх , таким образом образуется зона пониженного атмосферного давления .	плотность
И , наконец , образ Рей появляется над океаном в самом конце " The End of Evangelion " .	наконец
Остальные города республиканского значения Татарстана входят в состав соответствующих муниципальных районов в статусе городского поселения .	муниципальных
Не дожидаясь подписания закона президентом , Яценюк распорядился создать комиссию по проверке действующих членов Кабмина и заместителей министров , а также всех руководителей органов центральной исполнительной власти .	закона
IV пластина соответствует собственному ядру .	соответствует
В августе того же года по фальшивому паспорту уехал в Германию , в Берлин , откуда в начале следующего года нелегально вернулся на родину .	откуда
По данным Американской диабетической ассоциации научные исследования выявили связь между вегетарианской диетой и понижением риска ожирения , сердечно-сосудистых заболеваний , рака и диабета .	ассоциации
Избирался Народным депутатом СССР от творческих союзов .	депутатом
Трудность заключается в том , что в большом количестве случаев эти термины выступают как синонимы .	случаев
Герой Социалистического Труда ( 1987 ) . Народный артист СССР ( 1976 ) .	артист
Она представлена двумя типами растительности : зональной и экстразональной .	представлена
Содержался в бывшем костёле миссионеров , затем был переведён в бывший францисканский монастырь .	переведён
Крым имел стратегическое значение как один из путей к нефтеносным районам Кавказа ( через Керченский пролив и Тамань ) .	путей
Целый ряд поведенческих реакций , наблюдаемых у экспериментальных животных при введении апоморфина ( стереотипия , агрессивность и др. ) , объясняют его стимулирующим влиянием на дофаминовые рецепторы .	влиянием
Трижды подряд ( 1982 — 1984 ) он становился лучшим бомбардиром Серии А .	подряд
Строгое соблюдение галахического правила , заявлял Шалит , ущемляет его права человека и отца , а у ребёнка может вызвать комплекс неполноценности .	ребёнка
Часто установлены концевые выключатели для отключения питания электромотора в конечном положении заслонки .	питания
Впрочем , по достижении определённого уровня на такой доске можно « заснуть » , и тут волей-неволей захочется более высоких скоростей и крутых виражей .	высоких
В больших дозах наряду с влиянием на холинэстеразу может оказывать ( так же , как и другие антихолинэстеразные препараты ) непосредственное действие на холинорецепторы .	влиянием
Также он стал последнем личным трофеем в её карьере .	карьере
Дебют ВАЗ-2101 на спортивной арене состоялся в начале 1971 года в Риге на командном первенстве зимнего чемпионата СССР по ралли .	первенстве
События с 1789 года раскололи страну политически , идеологически и религиозно .	страну
Путём храмового жертвоприношения и сопровождающего его очищения искуплялись прегрешения как частных лиц , так и всего народа , что способствовало духовному очищению и моральному совершенствованию Израиля .	частных
Диего был вынужден обратиться к президенту страны , Нестору Киршнеру , чтобы тот помог ему вылететь на Кубу .	помог
Он вводит понятие « смиренномудрия » , которым предлагает регулировать хозяйственные процессы	предлагает
Голован Дрым фигурирует как персонаж второго плана в серии о ротмистре Тооте .	плана
1 октября 1975 года в Маниле состоялся боксёрский поединок между Мохаммедом Али и Джо Фрейзером , в котором Али защитил свой титул чемпиона мира .	чемпиона
Так , собор запретил светским судам предпринимать какие-либо действия против вдов и сирот без предварительной консультации с епископом или его заместителем как « естественными покровителями » обвиняемых .	собор
Spectrum " ) позиционировала эмуляцию « спектрумовских » игр как одну из основных особенностей своего устройства .	устройства
28 ноября 2010 года в краеведческом музее г .	музее
Именем Котельникова в 1973 названа аллея на территории бывшего Комендантского аэродрома .	названа
В Париже поезда прибывают на вокзал Монпарнас .	поезда
13 июня его принял Иосиф Сталин и вечером того же дня было подписано пятилетнее торговое соглашение .	соглашение
Первый номер дагестанского списка Расул Алиев также снял свою кандидатуру .	номер
В Древней Индии , как и во всём мире , была известна игра в кости .	известна
На автостоянке напротив торгового центра разместились горки и трамплины для езды и трюков .	напротив
По материалам своих университетских лекций издал биографические очерки о Майронисе , Антанасе Баранаускасе , Винцасе Кудирке , писал статьи о А .	издал
Наилучшие условия видимости в сентябре — октябре .	условия
formula _ 54 ( щавелевая кислота ) — окисление KMnO в кислой среде или HNO в присутствии PdCl .	среде
На восприятии музыкальной записи такая коррекция сказывается незначительно , а при сильном сигнале шумы ленты не так заметны .	музыкальной
В развитии картезианства обозначились две противоположные тенденции :	развитии
Хотя в книге нет авторских выводов , сила аргументов в пользу системы Коперника говорит сама за себя .	сама
В настоящее время библиотека находится в районе Реколета , в момент своего основания в 1810 году располагалось в Ратуше Буэнос-Айреса .	библиотека
Высота памятника — 5 метров .	памятника
В годы « Новой экономической политики » некоторые жители Кимр смогли обогатиться , обзавелись частными домами .	смогли
Зороастрийцы Ирана использовали свой календарь , празднуя Новый Год ( Новруз ) в день весеннего равноденствия .	использовали
Все умёл делать , все организовать и всегда был таким затейником .	делать
Он , как и другие мастера Лотис , прибыла в Токио на помощь Нео-Мастерам .	мастера
Основным истоком считается расположенный на возвышенности ( 332 м ) в 5 км к Ю-З от с. Кузоватово .	расположенный
В 2003 году в Нягани открыто первое в России производство клеёного бруса из шпона мощностью 38 тыс .	открыто
А именно , определителем вещественной матрицы называется функция formula _ 32 , обладающая следующими тремя свойствами :	тремя
Данное описание определяет слишком обширную территорию .	описание
Зиновьев заключал , что историческая роль Путина состояла в легитимизации последствий ельцинского переворота .	состояла
В 2000 году предпринял попытку баллотироваться на выборах в Палату представителей США , но проиграл праймериз действующему чернокожему конгрессмену Бобби Рашу ( Bobby Rush ) .	проиграл
Стандартные обозначения в формулах — , или .	обозначения
В этом рейтинге всего восемь российских вузов .	восемь
Своего пика ежегодное число авиакатастроф достигло в середине 1970-х ( наибольшее количество погибших пришлось на 1972 год ) .	1970-х
Каррика при участии Сергея Степанова .	участии
Но в 974 году проиграл войну и попал в плен , был увезен в Кордову .	проиграл
Светоний называет этот слух « " единственным пятном " » на сексуальной репутации Гая .	единственным
Например , в PGP первых версий для шифрования ключей сессии использовался алгоритм	использовался
Эвмен попытался , построив в Финикии флот , по морю добраться до Македонии ; на его сторону переходили всё новые македонские воины .	флот
Такой балет действительно был поставлен уже после смерти художницы , и главную роль в нём танцевала Майя Плисецкая .	действительно
В связи с развитием автомобилестроения в СССР в апреле 1967 года министр В .	министр
В последние годы жизни он вёл активную переписку , писал рассказы и стихи .	стихи
С 1970-х годов было отмечено уменьшение насилия на « Стэмфорд Бридж » , в основном из-за вмешательства полиции и установления камер видеонаблюдения .	1970-х
Претендент на звание чемпиона мира по шахматам ( 2012 ) .	чемпиона
Академия награждена орденами Ленина ( 1938 год ) , Суворова I степени ( 1945 год ) и Октябрьской Революции ( 1970 год ) .	орденами
Григорий Явлинский начал её под лозунгами развития экономики и критики действующего режима .	режима
В. Петровского , создан первый « Сборник задач по общей психологии » ( М. : Просвещение , 1974 ) .	задач
Из этого следует , что для получения адекватного рентгеновского снимка необходимо проводить исследование рентгенологически неоднородных образований .	образований
% ) , пограничное или антисоциальное расстройство личности ( 17	личности
Главным источником водорода служит водородсодержащий газ , образующийся при риформинге бензиновых фракций .	служит
Однако родители не согласились последовать этому совету , хотя у Ахметзаки было такое желание .	такое
В 1988 году Йохан Кройфф вернулся в клуб в качестве главного тренера .	тренера
Возможно , Циркус Максимус ведёт свою историю ещё от этрусков , но около 50 года до н .	ведёт
Хетум II будучи францисканцем , c первых своих дней пребывания в роли главы государства повел явную про-латинскую политику .	главы
Было организовано несколько машиностроительных предприятий ( в 1914 их насчитывалось 7 , из них одно — железнодорожное ) .	насчитывалось
Сулла убедил солдат , что Марий наймёт новых солдат , и войска забросали камнями трибунов , прибывших принять у Суллы командование .	командование
27 января 1993 года Капустин Яр-1 официально переименован в " Знаменск " .	переименован
Такое хозяйство требовало стандартизации с перешивкой на единую колею , что и было впоследствии осуществлено .	хозяйство
Роль Квинси стала дебютом актёра Омар Эппса , который в будущем сыграет одну из главных ролей в сериале « Доктор Хаус » .	сериале
На седьмой день стоянки Утнапиштим выпустил голубя и тот вернулся .	выпустил
Адвокат — знаменитый оратор Гиперид , видя , что его речь не производит на суд особого впечатления , сдёрнул с Фрины её одежды .	речь
В теоретической механике обобщённым импульсом называется частная производная лагранжиана системы по обобщённой скорости	скорости
До самой смерти Дэвид Паккард активно работал во многих общественных и деловых организациях и образовательных учреждениях .	общественных
Имеется несколько стилей каллиграфического письма .	письма
« Страдания юного Вертера » ( 1774 ) — роман в письмах , самое совершенное создание Гёте периода « Бури и натиска » .	самое
Adobe совершила ошибку , обнародовав спецификации PostScript Level 2 до начала работ по его аппаратной реализации .	реализации
Это позволило красно-белым в восьмой раз стать чемпионами СССР .	позволило
Такая атака возможна , если система безопасности позволяет идентификацию пользователя только по IP-адресу и не требует дополнительных подтверждений .	требует
К концу 1860-х годов численность поселка достигает 10 тысяч человек .	достигает
Решение продолжать путь не изменилось и от смотрительского рассказа , что позавчера в семи верстах от крепости зарезан был черкесами проезжий унтер-офицер .	семи
На сегодня геохимия заняла ведущее место среди наук о Земле .	сегодня
В Севастополе зарегистрированы ряд неполитических общественных организаций , а также благотворительные организации :	общественных
Самый важный труд Феодорита , без сомнения — его « История церкви » , написанная в 449 г. и состоящий из 5 книг .	труд
По итогам первого сезона Садырина в Москве ЦСКА стал победителем Первой лиги и вернулся в Высшую лигу .	победителем
Несколько тысяч человек умерли от последствий голода уже после того , как их переправили на « Большую землю » .	землю
Пчёлы символизируют производство мёда в окрестностях уникального Кузедеевского липового острова и одновременно — единство , сплоченность жителей района , сообща преобразующих его своим трудом .	окрестностях
После ожесточённой битвы франки победили , причём сам Хлодвиг сразил в единоборстве Алариха II .	битвы
В 2003 году на берлинской встрече министров образования европейских стран Россия присоединилась к Болонскому процессу , подписав Болонскую декларацию .	европейских
« Стирлинг » для перекачки жидкостей может быть гораздо проще привычной схемы « двигатель-насос » .	гораздо
В послеаварийные годы скульптура хранилась на территории комплекса строительно-ремонтных работ ( двор СШ № 2 ) .	двор
После пожара 1734 г. , полностью уничтожившего предыдущий дворец ( стоявший на месте арабского замка ) , было решено построить новое здание , подобное Версалю .	дворец
Оно возникло гораздо позже , когда здешние места были давно покинуты кхмерскими правителями , утратили свою роль столичного региона и стали приходить в упадок .	гораздо
Зикмунда , составленный по заданию руководства КПЧ по итогам путешествия по СССР и направленный ими лично Л. И .	руководства
Данные агрегаты именуются апоптосомами , апоптозными шаперонами или сигнальными комплексами , индуцирующими смерть ( от англ .	смерть
29 декабря 1919 года румынский парламент принял закон об аннексии Трансильвании , Буковины и Бессарабии .	закон
Большую Аудиторию окружают несколько « малых » — вместительностью от 70 до 170 человек — часть из которых специально предназначена для проведения научно-популярных лекций .	специально
Полагают , что мода предшествующих эпох менялась медленнее и могла оставаться неизменной на протяжении тысячелетий , Древний Египет является примером неизменяемых канонов на протяжении тысячелетий .	могла
По опытному образцу , изготовленному на 300 — 500 яиц , ремонтные мастерские ( позже завод « Пятигорсксельмаш » ) развернули выпуск инкубаторов для местной инкубаторной станции .	местной
На первой минуте полёта возникла аварийная ситуация вследствие двух атмосферных электрических разрядов ( на 37-й и 53-й секундах полёта ) .	минуте
Жерико снял студию , в которой могло поместиться задуманное им грандиозное полотно , и работал над ним восемь месяцев , почти не покидая мастерскую .	восемь
Действительный член Общества любителей российской словесности ( с 29 ноября 1903 ) .	российской
Появляются новые отделы : « экономика и общественность » , « наука и труд » , « профессиональное движение » и т. д .	труд
Квантовая система даёт результат , только с некоторой вероятностью являющийся правильным .	даёт
« Сорю » и « Хирю » не получили никаких повреждений .	никаких
Река выше по течению мелела , и поэтому продолжать путешествие на катере больше не представлялось возможным .	течению
Косплееры также не оставляют Аянами без внимания .	внимания
Фуюми училась в одной школе с Сюдзи , смотря на Сюдзе , когда тот был на стадионе .	стадионе
18 января 2012 года он сдал в ЦИК необходимые для участия в выборах два миллиона подписей избирателей в свою поддержку .	миллиона
В 1997 — 2000 годах являлся советником в отделе культуры , образования , науки и по делам молодёжи Государственной Канцелярии Президента Грузии .	делам
Расход воздуха достигал 12 — 15 м / мин при избыточном давлении не более 1,0 кПа , что было обусловлено малой прочностью кожи мехов .	воздуха
Особенно важна его роль в регистрации брака .	брака
В 1828 году родители отправили его в Академию Конкорда , а в 1837 году он закончил Гарвардский университет .	закончил
Схема CMYK обладает сравнительно с	обладает
В городе проводятся и другие российские соревнования : по триатлону , авторалли , спортивному бриджу , а также ряд пробегов .	соревнования
э. гето-даки достигли высокого уровня развития .	высокого
На самом деле , учитывая нынешние события , более уместно выделять сообщения , которые шутками НЕ являются .	сообщения
Через четыре месяца началась война , и в июле Нина Максимовна с сыном отправились в эвакуацию на восток страны .	восток
В период службы в Финляндии Баратынский продолжает печататься .	продолжает
В 1951 году участвовал в областном первенстве ДСО « Зенит » и выполнил норму первой категории .	первенстве
Это — потерянная женщина , если плачевное положение , в котором она находится , не изменится » .	женщина
Помимо государств в качестве " воюющих сторон " могут рассматриваться общественно-политические движения , национально-освободительные организации и т. п .	сторон
Горные работы не обязательны , если руда и окружающая среда позволяют провести выщелачивание .	провести
По средневековым письменным источникам трудно определить , что имеют в виду авторы , описывая границы Волжской Булгарии .	виду
По сюжету действие происходит в 1672 году , когда муниципалитет города Харлема объявил премию в размере 100 000 гульденов автору чёрного тюльпана .	муниципалитет
Во второй половине 1934 года украинские и белорусские части были преобразованы в обычные формирования .	формирования
Искусственный радионуклид W используется в качестве радиоактивной метки при исследованиях вещества .	вещества
Из ссылок возвратили бояр и князей , бывших в опале при Борисе и Фёдоре Годуновых , и вернули им конфискованные имения .	бывших
Парадоксальный финал ждет зрителя во фрагменте постановщика Кена Рассела Пуччини « Турандот » .	финал
В 1903 — 1905 годах — заведующий экспедицией ЦК РСДРП ( Женева ) , один из создателей архива ЦК .	заведующий
Указано на « ошибки и заблуждения Громыко , присущие советским деятелям его поколения » , « промахи и неверные решения » .	поколения
За 1998 г. в фонд поступило 23147 книг , из них 8575 экземпляров научной литературы .	экземпляров
В отличие от палеолита , когда существовало несколько видов людей , все они , кроме последнего , прекратили существование ещё до наступления неолита .	существование
Валихан-ходжа правил в Кашгарии всего сто пятнадцать дней .	правил
Для конденсации пара необходимо отвести от каждой единицы его массы теплоту , равную удельной теплоте конденсации .	пара
Операционная система обновляется каждые полгода , синхронно с Ubuntu .	каждые
; ) — они послужили северными пределами расселения евреев ( ) .	пределами
Из Финского залива по Неве для икрометания в Волхов и другие реки через озеро проходит осётр .	залива
Последние годы узнаваем по своим работам в трёх полнометражных фильмах « Тетрадь Смерти » .	фильмах
В новогоднюю ночь ( с 2006 на 2007 год ) « Король и Шут » подготовили радиопостановку известной сказки « Морозко » , озвученную Горшенёвым и Князевым .	известной
Не сохранилось данных о том , у кого из художников учился Кальф ; возможно , его учителем был Хендрик Пот из Харлема , где проживали родственники Кальфов .	проживали
Его кости помещены в стеклянной витрине около входа , а в расположенной рядом серебряной шкатулке находится череп святого .	святого
В конце 1960-х годов появился аргентинский панк-рок .	1960-х
Журнал привел подсчёты Международного валютного фонда , согласно которым вклад нефтяных цен — это не более 40	фонда
Ленина ( за исключением 1958 и 1966 ) , а с 1967 — 1 раз в 2 года , по чётным годам .	годам
Правовая культура человека выражается в способности пользоваться своим правом , действовать в рамках права , а также в наличии правовой грамотности .	способности
В апреле певица поехала в Южную Африку , где был снят клип « Агония » и началась работа над его спецэффектами .	снят
Три комплекта стальных балок высотой в 2 этажа соединяют колонны с каркасом на шести этажах , обеспечивая дополнительную безопасность .	высотой
В результате , новому исполнительному директору компании было составлено открытое письмо , в котором просилось пересмотреть решение об увольнении Вильямсона .	письмо
В 2012 году город занял 129-е место ( из 165 ) в рейтинге привлекательности городской среды проживания ( обитания ) с индексом 26,91 .	среды
codice _ 1 Виктор Николаевич - советский эстрадный композитор и дирижёр .	композитор
Пылевые частицы являются продуктами разрушения отработанных горных пород – отходов процесса обогащения полиметаллических руд .	процесса
Высота гор небольшая и средняя ( до 1696 м ) .	средняя
Список памятников Сергею Королёву :	памятников
В 1990 — 1991 гг. существовала должность заместителя Генерального секретаря ЦК КПСС .	заместителя
Писал виды Швейцарии и сцены её народной жизни , после поездок в Испанию и в северную Африку с 1836 года изображал природу и быт этих стран .	сцены
Благодаря этому начало года и все мусульманские праздники каждый год смещаются относительно климатических времён года и равноденствий .	времён
10 наиболее продаваемых игр : " " Список депутатов Государственной думы Российской Федерации I созыва	созыва
На площади и прилегающих улицах не оставалось бы ни одного дома старой постройки .	постройки
Города республиканского значения Казань и Набережные Челны образуют муниципальные образования со статусом городского округа , не входящего в состав муниципальных районов .	муниципальных
Химические методы получения гидроксида натрия имеют существенные недостатки : расходуется большое количество энергоносителей , получаемый едкий натр сильно загрязнён примесями .	методы
