Стрелок ранен и находится в больнице под контролем спецслужб .	ранен
Дыхание во сне существенно изменяется в соответствии с фазой сна .	существенно
, Сан-Франциско , Калифорния ) — почётный председатель совета директоров и основатель корпорации Intel , основоположник « закона Мура » .	закона
Криптосистема RSA стала первой системой , пригодной и для шифрования , и для цифровой подписи .	системой
В 1254 году свет увидела « Разграничительная грамота » , которая стала результатом сближения Норвегии и Руси .	результатом
< br > По численности населения на 1 января 2014 года находится на 1064 месте из 1100 городов Российской Федерации .	численности
В августе 2002 года она неплохо сыграла на турнире в Нью-Хейвене .	сыграла
Также Генрих Мхитарян после передачи Ройса не забил в пустые ворота , попав в штангу .	ворота
После огневого налёта из 80 орудий первым бросился в атаку I французский корпус графа д ’ Эрлона .	орудий
Один из шести олимпийских чемпионов от России в мужской лёгкой атлетике и единственный — в беговых дисциплинах .	чемпионов
Фундаментальная библиотека института начала свою работу одновременно с его открытием в 1902 году .	библиотека
После этого западногерманская фирма грамзаписи Hansa Records , с которой сотрудничал Фариан , начала массовый выпуск их альбомов и синглов .	альбомов
Возможно , имя произведено от имени « Бес » — аналогичного божества мужского пола .	пола
В конце концов , решено было доставить странного визитёра в полицейский участок .	концов
Поверхностные , или подкожные , фасции располагаются под жировым подкожным слоем ; у человека под кожей подошвы , ладони , волосистой части головы они преобразуются в апоневрозы .	головы
В фотоаппаратостроении принято различать номинальную и эффективную базы дальномера .	базы
После ухода с поста премьер-министра Тэтчер в течение двух лет была членом Палаты общин от Финчли .	поста
Для многих европейских стран эталоном инаугурации послужила французская схема .	европейских
Василий Пичул , будучи студентом ВГИКа , снял в 1981 году учебную короткометражную ленту « Митина любовь » .	любовь
Степень уменьшения интенсивности излучения , обусловленного суммарным действием обоих механизмов , характеризуют показателем ослабления стекла .	обоих
На селе внедрение лютеранства происходили гораздо медленнее и даже в XVIII веке сельские лютеранские священники жаловались на приверженность своих прихожан католическим обрядам .	гораздо
Строительство моста началось 5 января 1933 года и продолжалось более 4 лет .	моста
Административную власть Папа проводит в соответствии с Кодексом канонического права и может советоваться со Всемирным синодом епископов .	проводит
Джейн Фонду назвали в честь леди Джейн Сеймур , третьей жены короля Генриха VIII , являвшейся далёкой родственницей матери .	третьей
Александр Дулов родился в Москве 15 мая 1931 г. Окончил химфак МГУ , работал в Институте органической химии Российской академии наук .	химии
Под различными прозвищами и синонимами является персонажем огромного количества сказок Восточной Европы , самый популярный персонаж русской демонологии .	различными
На высоком левом берегу Яузы стоят Андроников монастырь и храм Сергия Радонежского в Рогожской слободе .	левом
В течение нескольких веков собор продолжал стоять в незавершённом виде .	собор
В 1708 году при Петре I Самара стала девятым городом только созданной Казанской губернии , а в 1719 году была приписана к Астраханской .	городом
Фильм представляет собой серию коротких эпизодов , предваряемых титрами-заголовками .	серию
В 1985 году самолёт был показан на XXVI аэрокосмическом салоне в Ле Бурже .	самолёт
Всходы и молодые растения повреждаются при заморозках в − 2 ° C .	растения
Организатором дезинформационных мероприятий в военной сфере была определена информационная служба , которая была создана в управлении военной разведки и контрразведки .	сфере
Правда , на драматических состязаниях и он выступал с тремя трагедиями , но каждая из них имела свой собственный сюжет .	тремя
В то же время на руках у С. П .	руках
По мнению некоторых историков , король таким образом собирался отблагодарить небеса за рождение ребёнка у Алиеноры .	ребёнка
На месте прежней пустыни , служившей путём для набегов крымцев , через каждые 20 — 30 вёрст находились деревни .	каждые
Там он рассказывает ей историю про Сергея Челищева , Олега Званцева и Катю Званцеву .	рассказывает
Соотношение серого и белого вещества в разных частях спинного мозга различно .	вещества
В 1921 г. Лига Наций признаёт принадлежность островов Финляндии , но на правах широкой автономии .	правах
16 ноября 2015 года форинт вошёл в список свободно конвертируемых валют , используемых при расчётах в международной межбанковской системе CLS .	международной
В период с 1891 по 1899 год Борис Бугаев обучался в знаменитой московской гимназии Л .	гимназии
Из ближайшего похоронного бюро был заранее доставлен взятый на прокат огромный миртовый венок .	бюро
Для полномочности Верховной Рады должны быть избраны не менее двух третей от её конституционного состава ( то есть 300 народных депутатов ) .	народных
В сыром помещении нередко бродит и запечатанный мёд ; крышечки ячеек при этом лопаются , мёд пузырится и стекает по соте .	нередко
Семье , оказавшейся в тяжёлом положении , пришлось несколько раз сменить место жительства , так как денег катастрофически не хватало , долги росли .	денег
Иоганн и Георг Форстеры как натуралисты участвовали во втором кругосветном путешествии Джеймса Кука ( 1772 — 1775 ) .	участвовали
Яйца белые , самка откладывает их по одному в день — два .	одному
Она выиграла титул большого шлема в партнёрстве с француженкой Натали Деши .	выиграла
Вскоре лицензии на способ были приобретены компанией « Dürener Metallwerken » , которая вышла на рынок с продуктом под маркой « дуралюминий » ( ) .	способ
1612 — 1648 ) — итальянский живописец .	итальянский
Джеймс Джордж Фрэзер вывел три стадии духовного развития человечества : магия , религия и наука .	стадии
Нарушение выразилось в том , что корпорация запрещала станциям ремонтировать машины других марок .	марок
Среди гражданской продукции он известен популярным кассетным магнитофоном « Легенда-404 » и компактными системами ЧПУ станков , но основное производство было сосредоточино в военной области .	продукции
Форма выпуска : таблетки по 0,01 и 0,0025 г ( 2,5 мг ; для детей ) .	выпуска
Ру́за — река в Московской области России , левый приток реки Москвы .	левый
Главной целью организации её создатель называл « наведение в стране порядка , повышение эффективности государственной власти , принуждение её работать в интересах граждан » .	граждан
В математике появляются мощные аналитические методы .	методы
Алиенора была правительницей огромного герцогства Аквитания , занимавшего территорию всей юго-западной Франции от Пуату до Пиренеев и от Бордо до Оверни и границ Священной Римской империи .	границ
Серия была выпущена тиражом 2 млн в листах 10х10 .	выпущена
Самыми известными моделями марки Dodge 1960-70-х годов были спортивные купе Challenger и Charger .	марки
При этом нижние ярусы башен оказались под землёй , что привело к затапливанию их грунтовыми водами и постепенному разрушению .	оказались
РСФСР признала его частью Грузии по советско-грузинскому Московскому мирному договору от 7 мая 1920 года , это соглашение современные исследователи оценивают как « сепаратное » .	соглашение
Процесс деления прокариотической клетки подробно изучен на примере " Escherichia coli " .	деления
В городских условиях ( рабочий посёлок Вознесенское ) проживают % населения района .	городских
Сериал « » уже четвёртый сезон шёл на канале HBO .	канале
В 1766 году Святейший синод одобрил новую редакцию « Последования в неделю Православия » ( была напечатана в 1767 году ) , обязательную для всех епархий .	неделю
Защитив докторскую диссертацию о Софокле , первоначально отправился в Геную , где получил место домашнего учителя .	первоначально
так ценился в Европе , что в английском языке слово " china " стало синонимом слова " фарфор " .	английском
Синтети́ческие языки́ — типологический класс языков , в которых преобладают синтетические формы выражения грамматических значений .	класс
Различные несовместимые с ней и друг с другом раскладки использовались в компьютерах MSX , в арабской версии MS-DOS , в системах на основе Linux .	использовались
В 1939 году четырёхмоторные бомбардировщики нового поколения появились в Италии — Пьяджо P.108 и Великобритании — « Галифакс » и « Стирлинг » .	поколения
В июле 1996 года , не желая становится рядовым сотрудником , он решает уволиться из Bullfrog , чтобы сконцентрироваться на геймдизайне .	решает
На второй день Великой Отечественной войны был призван на фронт — в штурмовую авиацию Черноморского флота .	призван
На 2017 год в монастыре 25 насельников .	монастыре
Для участия в войне Иван Грозный использовал войска , которые довольствовались лишь временными военно-ресурсными базами на этой территории .	использовал
Лёгкие короткодревкоые боевые топоры являются одноручными .	боевые
Банановые листья часто служат обёрточным и упаковочным материалом для продуктов и как своеобразный « зонтик » или « плащ » от дождя .	продуктов
На этот счёт на официальном сайте ЮНЕСКО имеются разночтения .	сайте
В это время Вермонт ещё не был заселён , а территории Нью-Гэмпшира и Мэна находились под управлением Массачусетса .	управлением
В 2017 году общая протяжённость трамвайных путей составила 125,2 км , троллейбусных — 55,8 км , а автобусных — 1342,9 км .	путей
Поэт отправлялся в изгнание , сопровождаемый общим вниманием : здесь были и страстное сочувствие , и затаённая вражда .	общим
В итоге Толкин решил продолжить традицию древнегреческих легенд , в которых , обладающий магической силой , получает племянник главного героя .	героя
Герб представляет собой серебряный щит с двумя красными поясами и тремя красными пятиконечными звёздами во главе .	тремя
Эти степи представляют собой остатки степной растительности бореального периода голоцена .	представляют
Архив изданных номеров доступен в электронной версии на официальном сайте компании .	сайте
Они намеревались доплыть до Ориноко и подняться к её верховьям , чтобы проверить , соединяется ли бассейн этой реки с системой Амазонки .	системой
Она участвовала в битвах при Гуттштадте , Гейльсберге , Фридланде , проявляя храбрость .	участвовала
Арзамас образует одноимённое муниципальное образование городской округ " город Арзамас " ( 1 населенный пункт ) .	образует
Каждый из них намного превосходит по своим полезным свойствам предыдущие типы магнитов , а лучшие — в десять раз сильнее альнико или ферритовых сплавов .	десять
К концу 1990-х годов в Ялте на окраинах города , а также на неосвоенных участках появилось множество домиков и коттеджей , построенных в частном порядке .	порядке
На них ложится « необходимая социальная функция » по созданию и управлению капиталами , формированию рабочих мест .	созданию
Она простиралась от границ с Уральской областью до берегов Волги .	границ
Правило в Кормчей Саввы Сербского выглядит следующим образом : « Ни мирским человеком играти не подобно » .	человеком
Плутоний-238 является оптимальным источником энергии , выделяющим 0,56	энергии
Аналогично они поступают в Подземье , ревниво охраняя свои владения и беспощадно истребляя чужаков , вторгающихся к ним .	владения
Медико-санитарная часть № 59 ведёт свою историю с 1955 года .	ведёт
Постепенно больная пошла на поправку , к ней вернулись речь и ограниченное движение .	речь
Кора у молодых деревьев гладкая , красно-бурая , позднее серо-коричневая , к старости отделяющаяся узкими продольными лентами .	молодых
Но потом польская знать ( в лице краковского епископа Збигнева Олесницкого , Яна Тарновского и других ) вынудила его отозвать согласие .	епископа
26 марта 1937 , Абу-Дис , подмандатная Палестина ) — палестинский государственный и политический деятель , представляющий движение « ФАТХ » .	политический
При регулярном применении резко снижается эффективность препарата .	резко
Во время оккупации в городе были расстреляны почти все евреи .	оккупации
При этом для оценки значения интеграла получаются формулы вида где formula _ 3 — число точек , в которых вычисляется значение подынтегральной функции .	оценки
По этой причине многие решались на эписпазм .	причине
Код в классификации : .	классификации
Он так превосходен , что испанцы дают ему преимущество в сравнении со всеми другими плодами как самому полезному для жизни .	всеми
Представители некоторых колоний и протекторатов выступали не от метрополии , а самостоятельно .	самостоятельно
29 августа « Манчестер Юнайтед » в рамках четвёртого тура чемпионата Англии принимал на своём поле « Арсенал » .	тура
Регион лежит в пределах Черского и Охотско-Анадырского сейсмических поясов .	пределах
20 августа 1960 года из упразднённого Ленинского района в Наро-Фоминский был передан Первомайский с / с .	передан
В начале февраля 1905 года в знак протеста против разгона мирного шествия петербургских рабочих рабочие механического завода на несколько дней прекратили работу .	знак
С первых дней 1944 года 3-й БАК поддерживал наступление Белорусского фронта .	наступление
Профиль включает в себя сжатие видео с помощью кодека H.264 , сжатие звука кодеком AAC и хранение итогового файла в контейнере Matroska .	видео
Небольшие сведения из биографии Феодорита находятся в книге « История боголюбцев » .	сведения
Сплавы плутония , или интерметаллические соединения , обычно получают прямым взаимодействием элементов в нужных отношениях .	соединения
История ханства связана с фамилией Зийяд-оглы из племени каджар , представители которой были вначале беглербегами , а затем — ханами Гянджи .	связана
На обсуждении результатов расчёта присутствовал Станислав Улам .	результатов
Председателем ОБСЕ стал министр иностранных дел Италии Анджелино Альфано , с 1 июня его сменил Энцо Моаверо-Миланези .	министр
Глава компании посчитал , что на « Титанике » носовую часть палубы нужно застеклить , чтобы уберечь пассажиров от дождя и ветра .	пассажиров
Неудачи [ советских ] танковых войск объясняются не плохим качеством материалов или вооружения , а " неспособностью командования и отсутствием опыта маневрирования " [ … ] .	командования
В феврале она сыграла в полуфинале зального турнира в Антверпене .	сыграла
1 июля 1928 года , спустя два года , Джек Рейнолдс вернулся на пост тренера « Аякса » .	тренера
Несмотря на имеющиеся знания , только в середине XX века проктология смогла выделиться из хирургии как самостоятельная дисциплина .	смогла
И. Ашмарина Виктора Николаевича , в обстановке дореволюционной России отцу не разрешали брак с матерью , так как она была « крестьянской девкой » .	брак
6 сенаторов назначаются по рекомендации премьер-министра , 3 — по рекомендации лидера оппозиции , 2 — по рекомендации религиозных , экономических и социальных групп .	социальных
Современное здание храма было построено в 1773 году рядом с деревянной церковью , сгоревшей в 1770 году .	построено
С 1965 по 2000 год — художественный руководитель и главный дирижёр Государственного академического симфонического оркестра СССР ( с 1991 года — России ) .	художественный
При нём действовала Преображенская церковь 1730-х гг. постройки , а рядом образовалось кладбище Фарфорового завода .	постройки
Ныне в верхней части бассейна Москвы-реки сооружены Истринское , Можайское , Рузское и Озернинское водохранилища , которые регулируют сток .	верхней
Также представительство в Думе имело движение " Яблоко " - 4 депутата , и " Блок За справедливость " - 1 депутат .	депутат
В 1785 году вернулся в Пруссию и подал прошение о восстановлении на службе .	службе
Герб отражает основное содержание труда жителей Апатитов : союз химической промышленности и науки и результат этого союза , символически изображённый в виде хлебного колоса … »	содержание
На его одежде просматривается колесо с шестью спицами — солярный символ .	символ
Бесс обосновался в Бактрии , объединив вокруг себя тех , кто был полон решимости дать отпор македонянам .	дать
% учеников получают аттестат зрелости .	учеников
Параллельно производилась более длинная версия : Maybach 62 с « полулежащими » задними сиденьями , имеющий более 1 миллиона параметров настроек .	миллиона
Одной из таких машин , построенной в 1843 году , был генератор Эмиля Штерера .	машин
Руководство клуба быстро нашло достойную альтернативу — « Днепр » принял известный украинский тренер Мирон Маркевич .	украинский
В 1998 году в России принята и исполняется программа реформирования бухгалтерского учёта в соответствии с МСФО .	программа
Процесс оказался пригодным не только для контактной печати , но и для оптической с увеличением .	печати
В городских условиях ( города Городец и Заволжье , рабочий посёлок Первомайский ) проживают % населения района .	городских
Ю́жно-Африка́нская Респу́блика ( сокращённо — ЮА́Р ) — государство на крайнем юге Африки .	государство
Это заблуждение зафиксировано в данном в 1758 году К .	данном
Причём отклонения особых флинтов от « нормальной прямой » , как правило , невелики .	прямой
Вскоре после родов самки спариваются и беременеют снова .	родов
Армия , созданная на основе отрядов ополчения различных штатов , постоянно испытывала сложности с комплектованием , обучением и снабжением .	сложности
К третьему чемпионату страны хоккеисты ЦДКА подошли в оптимальной форме и второй год подряд выиграли золото .	подряд
К нему же обращен ряд неопубликованных « домашних » стихотворений , сохранившихся в бумагах Державина : « Стихи к Фонтанке .	домашних
К этому же времени относится большая часть дошедших до наших дней парадных портретов короля и членов королевской семьи и несколько картин на религиозные темы .	наших
Птица с голубыми глазами и золотыми клювом и лапами изображена на красном фоне .	фоне
Следует также отметить , что возможно измерение и разницы фаз волновой функции , например , в опыте Ааронова — Бома .	отметить
Имеется воздушное сообщение с Красноярском ( авиакомпания NordStar Airlines ) .	сообщение
Когда у Сарры миновал детородный возраст и у неё прекратились менструации ( ) ,	возраст
Замки рода Лейнинген вдоль северной половины германского винного пути вошли в историю — например , населенный Берварштайн предполагаемого барона-разбойника « Ганс Трапп » .	половины
При встрече с Туранчоксом Ракан просит его не мешать землянам , но не находит сочувствия .	находит
После образования республики её административный центр находился в городе Назрань .	административный
Весь язык — это полное описание всего , что есть в мире , то есть всех фактов .	описание
Поскольку Троянская война началась с похищения Елены , то в " третьей песне " в единоборство вступают её юридический муж Менелай с фактическим — Парисом .	третьей
В том же году по просьбе дирижёра Майкла Косты он пишет для Бирмингемского музыкального фестиваля " кантату « Корсар » " ( по Байрону ) .	фестиваля
Наряду с автоматом Калашникова и М16 FN FAL является одним из самых распространённых в мире образцов автоматического стрелкового оружия .	стрелкового
В фильме Эдуард представлен сильным , явно гомосексуальным лидером , которого в конце концов побеждают могущественные враги .	концов
В следующем году хабаровчане отстояли титул чемпиона Вооруженных Сил СССР .	чемпиона
Роде́зия ( ) — название нескольких колоний , государственных образований :	образований
До 2009 года ОАО « ИжАвто » входило в группу компаний « СОК » .	компаний
Кроме того , Антоний всегда находился в великолепной физической форме , поэтому он наверняка преуспел в гимнастических упражнениях и военно-подготовительных тренировках — важном компоненте воспитания юных нобилей .	физической
Во всех остальных « островных » Евангелиях эти страницы также сильно декорированы , но уровня Келлской книги всё же не достигают .	остальных
Эксперименты показали , что используя много витков провода в катушке можно получить часто требовавшееся более высокое напряжение .	используя
В середине XIII века мамлюки разрушили стены города , которые в начале XVI века были отстроены османами .	стены
Затем « Дерфлингер » и « Лютцов » общими усилиями потопили британский линейный крейсер « Инвинсибл » , опрометчиво бросившийся вперёд .	британский
Автор пытается поднять событие до уровня мифологии , а сиюминутность – до уровня метафоры , символа-знака .	пытается
В 1885 г. сатирики Габриэль Викер и Анри Боклер опубликовали сборник пародийных стихотворений « Расслабления .	сборник
Обычно такие датчики фиксируют изменение емкостных , проводящих , люминесцентных свойств пористого кремния при наличии в контролируемой среде заданных молекул .	среде
В потсдамском Новом саду , непосредственно на берегу Святого озера в 1787 — 1792 годах при короле Фридрихе Вильгельме II был построен Мраморный дворец .	дворец
Демокрит рекомендовал эвтюмию как образ жизни , идеал спокойствия , постоянства и психического здоровья .	здоровья
Вполне вероятно , что различные игры шашечного типа изобретались на протяжении истории человечества многократно и независимо , чему способствовала простота инвентаря и правил .	правил
Диагноз ставится на основании анализа жалоб пациента и его поведения .	анализа
В 1793 году был занят в военных действиях французов сперва в Пиренеях , а затем и в Альпах .	действиях
В проливе присутствуют два течения : направленное на север менее солёное , поверхностное , и более солёное , глубинное , направленное на юг .	север
Весьма значительное место в Хартии занимают вопросы наследования и опеки .	вопросы
Учтено тринадцать мелких месторождений торфа , используемого в сельском хозяйстве в качестве удобрения .	мелких
Однако королю работы не понравились , он распорядился поместить святого Маврикия в зале собраний вместо капеллы и больше ничего у Эль Греко не заказывал .	святого
В 1991 году вышел только первый номер .	номер
Слабость ливанского правительства позволила ООП создать на территории этого государства практически независимое палестинское государство .	государство
Сердце состоит из четырёх отдельных полостей , называемых камерами : левое предсердие , правое предсердие , левый желудочек , правый желудочек .	левый
Аптечная служба осуществляется аптекой №	осуществляется
Их сервисы могут допускать случайные задержки в своей работе , что может привести к замедлению ответной реакции приложения на действия пользователя в заведомо неизвестный момент времени .	реакции
Матеевича , бессарабские молдаване имели преимущество , так как они сохранили язык своих предков , который издавна был и их церковным языком .	языком
Жителей 6477 обоего пола , домов 950 , соборная церковь , еврейская синагога , училище для матросских детей , почтовая контора .	пола
В классической экономике один из трёх факторов производства ; два других — земля и труд .	труд
По другой версии « Дир » — это титул или прозвище князя Аскольда , существование которого у многих не вызывает сомнений .	существование
В 1882 — 1939 годах в Лондоне существовало другое Генделевское общество , целью которого было исполнение малоизвестных произведений Генделя , в основном хоровых .	другое
Во время очередной войны в Османской империей австрийцы в 1789 году захватили город , но оставили его после подписания Систовского мирного договора .	договора
Волнения постепенно охватывают и север страны .	север
Сегодня Сосновский район — территория , представляющая собой сеть металлообрабатывающих промышленных предприятий .	сеть
11 мая 1945 года под г. Мельник , недалеко от Праги , основная масса личного состава была взята в плен частями Красной Армии .	недалеко
Набор таких сведений делает архонтологию полезной и ясной для понимания широкому кругу исследователей .	делает
Камера сгорания большинства имеет кольцевую форму .	большинства
В Красной армии формировались отдельные эстонские части ( т .	отдельные
Хотя формально Луценко оставался в СПУ , но фактически всё более отходил к политическому лагерю Ющенко .	оставался
Соперничество между двумя коронами привело к началу Столетней войны в 1337 году .	началу
Родников получили ордена Боевого Красного Знамени , а стрелок-радист старший сержант П. И. Кисельков — медаль « За отвагу » .	сержант
Осенне-летний треугольник — наиболее заметный астеризм северного полушария небесной сферы , хорошо наблюдаемый летом и осенью в средних широтах северного полушария .	осенью
Степень , апелиду ( и пояс-платок ) они могут получить только на церемонии посвящения ( ) .	церемонии
С целью получения газа , обладающего электрическими свойствами , они начали сжигать мокрую солому и шерсть .	газа
Например , после проигрыша можно увидеть надпись « Ленин ещё вернется ! » , а во время однопользовательской игры в случае гибели даётся шанс цивилизации возродиться .	гибели
« Думаю , что ярлык запутает менее известных авторов , которые попытаются этим заниматься .	авторов
В городе немало разрушающихся памятников архитектуры .	памятников
Производство автомобилей представительского класса под маркой Maybach было возобновлено в 2002 году .	автомобилей
Левашовой , по Выборгскому почтовому тракту , 22 двора , 52 души м. п. ( 1856 год )	двора
Переселившиеся туда имели налоговые льготы ( 7	туда
Руководил боем при Тарутине , был ранен .	ранен
Военные силы Эдуарда в Гаскони насчитывали около 4400 человек , а во французской армии под командованием Карла Валуа было 7 тысяч .	французской
